Rank	Name	Number	Name	Number
1	Noah	145,195	Emma	158,573
2	Jacob	140,091	Sophia	152,936
3	Mason	133,535	Olivia	147,486
4	Liam	133,019	Isabella	142,064
5	William	131,241	Ava	125,937
6	Ethan	125,561	Mia	103,580
7	Michael	122,265	Emily	100,414
8	Alexander	118,376	Abigail	99,356
9	James	112,387	Madison	84,803
10	Daniel	111,658	Elizabeth	77,233
11	Elijah	110,075	Charlotte	76,031
12	Aiden	109,852	Chloe	71,994
13	Jayden	109,122	Ella	69,455
14	Benjamin	107,648	Amelia	68,291
15	Matthew	105,429	Avery	67,348
16	Logan	103,560	Sofia	67,210
17	David	97,485	Evelyn	65,950
18	Joseph	96,402	Harper	63,891
19	Anthony	96,047	Addison	61,128
20	Jackson	95,366	Grace	59,916
21	Lucas	93,291	Natalie	58,058
22	Joshua	91,763	Victoria	57,341
23	Andrew	90,612	Lily	56,929
24	Gabriel	89,047	Aubrey	55,966
25	Samuel	88,573	Lillian	54,092
26	Christopher	87,472	Zoey	53,116
27	John	84,405	Hannah	52,980
28	Dylan	80,013	Brooklyn	51,180
29	Ryan	77,754	Layla	50,012
30	Isaac	77,547	Samantha	49,532
31	Carter	76,938	Zoe	47,767
32	Luke	76,025	Leah	46,077
33	Nathan	74,907	Riley	44,314
34	Caleb	73,095	Scarlett	43,871
35	Owen	72,271	Anna	43,076
36	Christian	71,561	Savannah	42,744
37	Henry	70,923	Camila	42,493
38	Oliver	70,495	Audrey	42,372
39	Wyatt	69,536	Allison	41,781
40	Jonathan	68,389	Gabriella	40,789
41	Landon	67,793	Hailey	40,689
42	Jack	67,256	Sarah	39,359
43	Sebastian	66,499	Claire	39,140
44	Hunter	63,145	Aaliyah	39,043
45	Isaiah	62,992	Kaylee	38,986
46	Julian	62,534	Nevaeh	38,227
47	Levi	60,061	Aria	37,602
48	Aaron	58,763	Alexis	37,274
49	Eli	58,012	Alexa	36,879
50	Brayden	57,724	Arianna	36,174
51	Nicholas	57,156	Penelope	34,283
52	Connor	56,901	Alyssa	34,259
53	Charles	56,763	Bella	34,040
54	Thomas	56,327	Stella	33,983
55	Evan	56,310	Ariana	33,806
56	Jeremiah	55,780	Peyton	33,759
57	Gavin	55,746	Taylor	33,596
58	Cameron	55,469	Lucy	33,080
59	Jordan	55,165	Ashley	32,875
60	Adrian	54,258	Brianna	32,648
61	Jaxon	53,916	Ellie	32,503
62	Angel	52,852	Genesis	32,307
63	Tyler	52,836	Nora	32,242
64	Robert	52,404	Maya	31,932
65	Austin	49,875	Madelyn	31,898
66	Grayson	49,323	Serenity	31,662
67	Josiah	49,321	Caroline	31,480
68	Brandon	48,095	Kylie	31,342
69	Colton	47,270	Violet	31,217
70	Jose	46,635	Kennedy	30,876
71	Dominic	45,803	Skylar	30,868
72	Kevin	45,442	Autumn	30,769
73	Zachary	44,334	Sadie	30,050
74	Chase	43,561	Julia	30,046
75	Ian	43,114	Mackenzie	29,791
76	Jason	42,981	Khloe	29,551
77	Ayden	42,454	Sophie	29,471
78	Adam	41,676	Katherine	28,942
79	Parker	41,204	Paisley	28,839
80	Cooper	40,158	Mila	28,539
81	Justin	40,114	Eva	28,383
82	Xavier	39,989	Naomi	28,249
83	Nolan	38,954	Eleanor	28,127
84	Jace	38,931	Gianna	27,737
85	Hudson	38,319	Melanie	27,596
86	Carson	38,124	Aubree	27,434
87	Bentley	37,498	Faith	27,047
88	Lincoln	37,035	Kayla	26,706
89	Blake	37,024	Piper	26,596
90	Easton	36,374	Madeline	26,546
91	Nathaniel	35,258	Lydia	26,379
92	Asher	34,455	Alexandra	26,376
93	Mateo	33,275	Ruby	26,028
94	Jaxson	32,967	Lauren	25,639
95	Tristan	32,777	Annabelle	25,187
96	Luis	32,736	Makayla	25,147
97	Brody	32,449	Jasmine	25,010
98	Kayden	32,251	Sydney	24,757
99	Juan	31,817	Bailey	24,220
100	Bryson	30,657	Morgan	24,174
101	Leo	30,322	Kimberly	23,971
102	Cole	29,902	Maria	23,563
103	Vincent	29,850	Hazel	23,421
104	Elias	29,772	Alice	23,353
105	Ryder	29,613	Isabelle	23,272
106	Carlos	29,531	Reagan	23,252
107	Micah	29,310	Jocelyn	23,222
108	Jesus	28,563	London	23,187
109	Max	28,447	Andrea	22,991
110	Damian	28,189	Trinity	22,854
111	Miles	27,640	Rylee	22,799
112	Alex	27,552	Aurora	22,215
113	Diego	27,472	Natalia	21,970
114	Eric	26,846	Molly	21,964
115	Maxwell	26,840	Vivian	21,286
116	Santiago	26,693	Jade	21,076
117	Leonardo	26,542	Elena	21,020
118	Sawyer	26,535	Liliana	20,981
119	Ezra	25,914	Mary	20,931
120	Roman	25,704	Eliana	20,871
121	Hayden	25,544	Brooke	20,799
122	Theodore	25,443	Clara	20,748
123	Giovanni	24,902	Quinn	20,584
124	Bryce	24,804	Cora	20,572
125	Camden	24,640	Brielle	20,294
126	Ivan	24,265	Payton	20,233
127	Braxton	24,170	Lilly	20,062
128	Ashton	24,048	Hadley	19,992
129	Greyson	23,817	Valentina	19,947
130	Wesley	23,704	Mariah	19,763
131	Timothy	23,670	Paige	19,736
132	Antonio	23,605	Nicole	19,463
133	Declan	23,265	Luna	19,357
134	Axel	23,163	Mya	19,319
135	Steven	22,779	Jordyn	19,215
136	Bryan	22,575	Kinsley	18,851
137	Jonah	22,557	Delilah	18,761
138	Richard	22,540	Destiny	18,760
139	Miguel	22,531	Willow	18,417
140	Kaiden	22,481	Isabel	18,400
141	Silas	22,443	Lyla	18,122
142	Aidan	22,263	Angelina	18,004
143	Kaleb	22,235	Rachel	17,863
144	George	22,065	Kendall	17,785
145	Colin	21,825	Josephine	17,719
146	Jaden	21,800	Valeria	17,401
147	Victor	21,751	Sara	17,203
148	Harrison	21,647	Vanessa	16,957
149	Joel	21,527	Kaitlyn	16,816
150	Weston	21,418	Mckenzie	16,775
151	Preston	21,252	Adeline	16,763
152	Patrick	21,234	Amy	16,726
153	Alejandro	21,130	Aliyah	16,639
154	Kaden	21,119	Reese	16,557
155	Kyle	20,989	Gabrielle	16,543
156	Brian	20,930	Laila	16,537
157	Ezekiel	20,926	Juliana	16,462
158	Edward	20,846	Ivy	16,447
159	Jesse	20,651	Ximena	16,242
160	Marcus	20,420	Jessica	16,126
161	Emmanuel	20,331	Brooklynn	16,076
162	Maddox	20,317	Gracie	15,994
163	Riley	20,223	Eden	15,789
164	Jude	20,026	Ariel	15,778
165	Alan	19,782	Adriana	15,500
166	Jeremy	19,754	Emilia	15,492
167	Grant	19,588	Margaret	15,455
168	Jameson	19,548	Isla	15,382
169	Malachi	19,466	Valerie	15,289
